"subject_code","Blink-Rotated","Blink-Upright","No-Blink-Rotated","No-Blink-Upright","understanding"
52,2.6316705,2.4882885,2.7785635,2.603279921,1
1058,2.599613,2.5489535,2.517633,2.4723434425,1
1313,2.7495835,2.8015875,2.835644,2.788233841,1
1328,2.6692305,2.6419325,2.6943905,2.6105557445,0
1361,2.712225,2.670386,2.7790635,2.7367212505,1
1907,2.6477045,2.648764,2.710134,2.645819411,0
2356,2.6754595,2.674243,2.649092,2.6866848605,1
2533,2.66414,2.610675,2.701514,2.615561426,0
2695,2.7833435,2.548629,2.807537,2.5494150895,0
2716,2.6274385,2.775939,2.666438,2.7423702675,0
2863,2.820121,2.74297,2.8398035,2.814341352,0
2881,2.674635,2.6757215,2.6779525,2.6774644275,1
3466,2.5327295,2.60006,2.6956505,2.708323749,1
3623,2.575699,2.506458,2.5389335,2.5259144175,0
4957,2.7024155,2.609509,2.7487815,2.595938549,0
5649,2.704618,2.6317315,2.767276,2.676134018,1
5683,2.871587,2.7725975,2.828143,2.899945073,0
5725,2.8469175,2.709341,2.784056,2.668931307,1
5789,2.634349,2.5964215,2.712858,2.733264461,1
5792,2.7072265,2.7384775,2.7229775,2.7440794135,1
5895,2.6824375,2.6664515,2.973644,3.001770458,0
7108,2.6857585,2.537014,2.6185075,2.574915781,0
7115,2.6403715,2.6279465,2.65128,2.754620683,0
7116,2.600555,2.5536375,2.5805245,2.5766501045,1
