"subject_code","Blink-Upright","NoBlink-Upright","Blink-Rotated","NoBlink-Rotated","understanding"
52,2.0554,0.37037,1.1615,0.15679,1
1058,1.1177,0.26935,0.49139,-0.056501,1
1313,0.85325,1.372,0.1256,0.062773,1
1328,1.1855,0.36306,0.018333,0.045682,0
1361,0.96126,1.43,-0.23629,0.72747,1
1907,0.12318,0.14387,0.12639,0.15367,0
2356,0.63748,0.34353,0.048336,0.55249,1
2533,1.5412,0.46216,1.8641,0.037265,0
2695,1.7398,0.24077,0.41657,0.12525,0
2716,0.52729,-0.046405,0.081706,0.16907,0
2863,1.5084,-0.10366,0.61196,0.041334,0
2881,0.3441,0.19325,0.26831,0.044687,1
3466,2.3604,0.89192,2.4776,0.22883,1
3623,1.0132,0.54371,1.4192,0.72149,0
4957,0.21256,0.56944,0.41363,0.12055,0
5649,2.0402,1.4544,2.0202,0.4988,1
5683,0.41444,0.15694,-0.089592,0.10954,0
5725,0.70789,0.92173,0.26944,0.14387,1
5789,2.2818,0.42559,-0.46423,0.57126,1
5792,0.78896,0.3395,0.45045,0.062412,1
5895,2.496,0.29529,2.0275,-0.17387,0
7108,0.74307,0.21034,-0.021998,0.35708,0
7115,1.1229,-0.7111,2.9901,-0.3159,0
7116,0.318,0.30157,0.29356,-0.19295,1
